ID,category,name,price,link,brand,warranty,series,use_case,chipset,socket,Kích thước,max_ram_slots,supported_ddr,Hỗ trợ bộ nhớ tối đa,ram_speed,Lưu trữ,m2_slots,Cổng xuất hình,pci_slots,Số cổng USB,lan,Kết nối không dây,audio,led,multi_gpu,mb_tier
mainboard_032,Mainboard,Mainboard Msi PRO B760M-P DDR4,2790000,https://phongvu.vn/bo-mach-chinh-mainboard-msi-pro-b760m-p-ddr4--s230200077,Msi,36 tháng,PRO,"Gaming, Văn phòng, Đồ họa - Kỹ thuật",B760,LGA1700,Micro-ATX,4 khe,DDR4,128GB,"4800(OC), 4600(OC), 4400(OC), 4266(OC), 4200(OC), 4000(OC), 3800(OC), 3733(OC), 3600(OC), 3466(OC)","4 x SATA 3 6Gb/s, 1 x M.2 NVMe, 1 x M.2 SATA/NVMe",M.2 SATA/NVMe,"1 x HDMI, 1 x DisplayPort, 1 x VGA/D-sub",1 x PCI Express x16; 2 x PCI Express x1,- 1 x USB Type-C - 1 x USB 3.2 (Tối đa 3) - 4 x USB 2.0(Tối đa 8),1 x LAN 1 Gb/s,,#NAME?,,,mid
mainboard_033,Mainboard,Mainboard Msi PRO B760M-A WIFI DDR4,3599000,https://phongvu.vn/bo-mach-chinh-mainboard-msi-pro-b760m-a-wifi-ddr4--s230200076,Msi,36 tháng,PRO,"Gaming, Văn phòng, Đồ họa - Kỹ thuật",B760,LGA1700,Micro-ATX,4 khe,DDR4,128GB,"5333(OC), 5200(OC), 5066(OC), 5000(OC), 4800(OC), 4600(OC), 4400(OC), 4266(OC), 4200(OC), 4000(OC)","4 x SATA 3 6Gb/s, 1 x M.2 NVMe, 1 x M.2 SATA/NVMe",M.2 SATA/NVMe,"2 x HDMI, 2 x DisplayPort",2 x PCI Express x16; 1 x PCI Express x1,- USB Type-C (Tối đa 1) - 4 x USB 3.2 (Tối đa 8) - 2 x USB 2.0(Tối đa 6),1 x LAN 2.5Gb/s,"WiFi 802.11 a/b/g/n/ac/ax, Bluetooth 5.3",#NAME?,,,mid
mainboard_034,Mainboard,Mainboard Gigabyte Z790M AORUS ELITE AX DDR5,5690000,https://phongvu.vn/bo-mach-chinh-mainboard-gigabyte-z790m-aorus-elite-ax--s230100305,Gigabyte,36 tháng,AORUS,"Gaming, Văn phòng, Đồ họa - Kỹ thuật",Z790,LGA1700,Micro-ATX,4 khe,DDR5,128GB,"7600MHz, 7400MHz, 7200MHz, 7000MHz, 6800MHz, 6600MHz, 6400MHz, 6200MHz, 6000MHz, 5800MHz","6 x SATA 3 6Gb/s, 3 x M.2 NVMe",M.2 NVMe,"1 x HDMI, 1 x DisplayPort",2 x PCI Express x16,- 1 x USB Type-C (Tối đa 2) - 5 x USB 3.2 (Tối đa 7) - 4 x USB 2.0(Tối đa 8),1 x LAN 2.5Gb/s,"WiFi 802.11 a/b/g/n/ac/ax, Bluetooth 5.3",#NAME?,RGB,AMD CrossFire,high
mainboard_035,Mainboard,Mainboard Gigabyte B760M DS3H DDR4,2849000,https://phongvu.vn/bo-mach-chinh-mainboard-gigabyte-b760m-ds3h-ddr4--s230100294,Gigabyte,36 tháng,,"Gaming, Văn phòng, Đồ họa - Kỹ thuật",B760,LGA1700,Micro-ATX,4 khe,DDR4,128GB,"5333MHz, 5133MHz, 5000MHz, 4933MHz, 4800MHz, 4700MHz, 4600MHz, 4500MHz, 4400MHz, 4300MHz","4 x SATA 3 6Gb/s, 2 x M.2 NVMe",M.2 NVMe,"1 x HDMI, 2 x DisplayPort, 1 x VGA/D-sub",1 x PCI Express x16; 2 x PCI Express x1,- 1 x USB Type-C - 3 x USB 3.2 (Tối đa 5) - 2 x USB 2.0(Tối đa 6),1 x LAN 2.5Gb/s,,#NAME?,,,mid
mainboard_036,Mainboard,Mainboard MSI PRO H610M-E DDR4,1790000,https://phongvu.vn/mainboard-msi-pro-h610m-e-ddr4--s221201959,Msi,36 tháng,PRO,"Gaming, Văn phòng",H610,LGA1700,Micro-ATX,2 khe,DDR4,64GB,"2800MHz, 2400MHz, 2666MHz, 3000MHz, 3200MHz, 2933MHz, 2133MHz","4 x SATA 3 6Gb/s, 1 x M.2 NVMe",M.2 NVMe,"1 x HDMI, 1 x VGA/D-sub",1x PCIe x16; 1x PCIe x1,2 x USB 3.2 (Tối đa 3); 4 x USB 2.0 (Tối đa 6),1 x LAN 1 Gb/s,,Realtek ALC897 Codec,,,budget
mainboard_037,Mainboard,Mainboard Asus PRIME Z790-P WIFI-CSM DDR5,4990000,https://phongvu.vn/mainboard-asus-prime-z790-p-wifi-csm--s221003671,Asus,36 tháng,Prime,"Gaming, Văn phòng, Đồ họa - Kỹ thuật",Z790,LGA1700,ATX,4 khe,DDR5,128GB,"7200MHz, 7000MHz, 6800MHz, 6600MHz, 6400MHz, 6200MHz, 6000MHz, 5800MHz, 5600MHz, 5400MHz","4 x SATA 3 6Gb/s, 1 x M.2 SATA/NVMe, 2 x M.2 NVMe",M.2 NVMe,"1 x DisplayPort, 1 x HDMI",1 x PCIe 5.0 x16; 3 x PCIe 4.0 x4; 1 x PCIe 3.0 x1,1 x USB Type-C (tối đa 2); 3 x USB 3.2 (tối đa 7); 4 x USB 2.0 (tối đa 8),1 x LAN 2.5Gb/s,"WiFi 802.11 a/b/g/n/ac/ax, Bluetooth 5.2",Realtek 7.1 Surround Sound High Definition Audio CODEC,RGB,,mid
mainboard_038,Mainboard,Mainboard Gigabyte Z790 UD DDR5 | Socket 1700,5090000,https://phongvu.vn/mainboard-gigabyte-z790-ud--s221003593,Gigabyte,36 tháng,,"Gaming, Văn phòng, Đồ họa - Kỹ thuật",Z790,LGA1700,ATX,4 khe,DDR5,128GB,"7600MHz, 7400MHz, 7200MHz, 7000MHz, 6800MHz, 6600MHz, 6400MHz, 6200MHz, 6000MHz, 5800MHz","6 x SATA 3 6Gb/s, 3 x M.2 NVMe",M.2 NVMe,"1 x DisplayPort, 1 x HDMI",3 x PCI E x16; 2 x PCI E x1,1 x USB Type-C (tối đa 2); 5 x USB 3.2 (tối đa 5); 4 x USB 2.0 (tối đa 8),1 x LAN 2.5Gb/s,,Realtek Audio CODEC,RGB,AMD CrossFire,high
mainboard_039,Mainboard,Mainboard Gigabyte Z790 UD AX DDR5,5590000,https://phongvu.vn/bo-mach-chinh-mainboard-gigabyte-z790-ud-ax--s221003592,Gigabyte,36 tháng,,"Gaming, Văn phòng, Đồ họa - Kỹ thuật",Z790,LGA1700,ATX,4 khe,DDR5,128GB,"7600MHz, 7400MHz, 7200MHz, 7000MHz, 6800MHz, 6600MHz, 6400MHz, 6200MHz, 6000MHz, 5800MHz","6 x SATA 3 6Gb/s, 3 x M.2 NVMe",M.2 NVMe,"1 x DisplayPort, 1 x HDMI",3 x PCI E x16; 2 x PCI E x1,1 x USB Type-C (tối đa 2); 5 x USB 3.2 (tối đa 5); 4 x USB 2.0 (tối đa 8),1 x LAN 2.5Gb/s,"WiFi 802.11 a/b/g/n/ac/ax, Bluetooth 5.2",Realtek Audio CODEC,RGB,AMD CrossFire,high
mainboard_040,Mainboard,Mainboard Msi MAG X870E TOMAHAWK WIFI DDR5,9690000,https://phongvu.vn/bo-mach-chinh-mainboard-msi-mag-x870e-tomahawk-wifi-ddr5--s260200461,Msi,36 tháng,MAG,Gaming,X870E,AM5,ATX,4 khe,DDR5,256GB,"8400(OC), 5600(OC), 5600(JEDEC), 4800(JEDEC)","4 x SATA 3 6Gb/s, 4 x M.2 NVMe",M.2 NVMe,"1 x HDMI, 2 x USB Type-C",3 x PCI-E x16,3 x USB Type C (Tối đa 4) - 5 x USB 3.2 (Tối đa 9) - 4 x USB 2.0 (Tối đa 8),1 x LAN 5Gb/s,"Wi-Fi 7 (802.11be), Bluetooth 5.4",Realtek ALC4080 Codec; 7.1-Channel USB High Performance Audio,,,high
mainboard_041,Mainboard,Mainboard ASUS ROG STRIX X870E-H GAMING WIFI7 HATSUNE MIKU EDITION DDR5,13990000,https://phongvu.vn/mainboard-asus-rog-strix-x870e-h-gaming-wifi7-hatsune-miku-edition-ddr5--s251101070,Asus,36 tháng,ROG,Gaming,X870E,AM5,ATX,4 khe,DDR5,256GB,8000+MT/s (OC),"4 x SATA 3 6Gb/s, 4 x M.2 NVMe",M.2 NVMe,1 x HDMI,1 x PCIe 5.0 x16 slot; 1 x PCIe 4.0 x16 slot,3 x USB Type-C (Tối đa 4) 9 x USB 3.2 (Tối đa 11) 2 x USB 2.0 (Tối đa 4),1 x LAN 5Gb/s,"Wi-Fi 7 (802.11be), Bluetooth 5.4",Realtek ALC1220P 7.1 Surround Sound,,,high
mainboard_042,Mainboard,Mainboard Gigabyte B760M DS3H GEN5,3450000,https://phongvu.vn/bo-mach-chinh-mainboard-gigabyte-b760m-ds3h-gen5--s250636936,Gigabyte,36 tháng,,"Gaming, Văn phòng",B760,LGA1700,Micro-ATX,4 khe,DDR5,256GB,"5600 MT/s, 5200 MT/s, 4800 MT/s, 4400 MT/s","4 x SATA 3 6Gb/s, 2 x M.2 NVMe",M.2 NVMe,"1 x HDMI, 1 x VGA/D-sub, 2 x DisplayPort",1 x PCI Express x16; 2 x PCI Express x1,- 1 x USB Type-C - - 3 x USB 3.2( tối đa 5) - - 2 x USB 2.0( tối đa 6),1 x LAN 2.5Gb/s,,Realtek Audio CODEC; High Definition Audio; 2/4/5.1/7.1-channel,,,mid
mainboard_043,Mainboard,Mainboard Gigabyte B760M GAMING WIFI PLUS,3290000,https://phongvu.vn/bo-mach-chinh-mainboard-gigabyte-b760m-gaming-wifi-plus--s250635562,Gigabyte,36 tháng,,Gaming,B760,LGA1700,Micro-ATX,2 khe,DDR5,128GB,"8000(O.C), 7800(O.C), 7600(O.C.), 7400(O.C.), 7200(O.C.), 7000(O.C.), 6800(O.C.), 6600(O.C.), 6400(O.C.), 6200(O.C.)","2 x M.2 NVMe, 4 x SATA 3 6Gb/s",M.2 NVMe,"1 x HDMI, 1 x VGA/D-sub",1 x PCI Express x16; 1 x PCI Express x1,- 1 x USB Type-C - - 3 x USB 3.2 (Tối đa 5) - - 2 x USB 2.0 (Tối đa 6),1 x LAN 2.5Gb/s,"Bluetooth 5.1, WiFi 802.11 a/b/g/n/ac",- Realtek® Audio CODEC - High Definition Audio - 2/4/5.1/7.1-channel,,,mid
mainboard_044,Mainboard,Mainboard Asus ROG STRIX X870-I GAMING WIFI,13090000,https://phongvu.vn/bo-mach-chinh-mainboard-asus-rog-strix-x870-i-gaming-wifi--s250520311,Asus,36 tháng,ROG,Gaming,X870,AM5,Mini-ITX,2 khe,DDR5,128GB,"8400+(OC), 8600(OC), 8000+(OC)","2 x SATA 3 6Gb/s, 2 x M.2 NVMe",M.2 NVMe,"1 x HDMI, 2 x USB Type-C",1 x PCIe 5.0 x16 1 x PCIe 4.0 x16,3 x USB Type-C (Tối đa 4) 4 x USB 3.2(Tối đa 6) 3 x USB 2.0,1 x LAN 2.5Gb/s,"Wi-Fi 7 (802.11be), Bluetooth 5.4",- ROG Strix Hive II Audio Features - ROG Hyper-Grounding Technology - ESS® SABRE9260Q DAC - Silver-plated audio jacks - Dedicated audio PCB layers,,,high
mainboard_045,Mainboard,Mainboard ASUS PRIME B550M-A DDR4,2550000,https://phongvu.vn/bo-mach-chinh-mainboard-asus-prime-b550m-a-ddr4--s250203035,Asus,36 tháng,Prime,Văn phòng,B550,AM4,Micro-ATX,4 khe,DDR4,128GB,"2800MHz, 2400MHz, 2666MHz, 3000MHz, 3200MHz, 3333MHz, 3600MHz, 3733MHz, 3866MHz, 4000MHz","4 x SATA 3 6Gb/s, 2 x M.2 SATA/NVMe",M.2 SATA/NVMe,"1 x HDMI, 1 x DVI-D, 1 x VGA/D-sub",- 1 x PCIe 4.0 x16 - - 1 x PCIe 3.0 x16 - - 2 x PCIe 3.0 x1,- 6 x USB 3.2 (tối đa 8) - - USB 2.0 (tối đa 4),1 x LAN 1 Gb/s,,Realtek ALC887 7.1 Surround Sound High Definition Audio CODEC,RGB,,mid
mainboard_046,Mainboard,Mainboard GIGABYTE B850I AORUS PRO,8390000,https://phongvu.vn/bo-mach-chinh-mainboard-gigabyte-b850i-aorus-pro--s250116698,Gigabyte,36 tháng,AORUS,Gaming,B850,AM5,Mini-ITX,2 khe,DDR5,128GB,"8400(OC), 8200(O.C.), 8000(O.C), 7800(O.C), 7600(O.C.), 7200(O.C.), 7000(O.C.), 6800(O.C.), 6666(OC), 6600(O.C.)","4 x M.2 NVMe, 2 x SATA 3 6Gb/s",M.2 NVMe,1 x HDMI,1 x PCI Express x16,- 1 x USB Type-C (Tối đa 2) - 4 x USB 3.2(Tối đa 6) - 2 x USB 2.0(Tối đa 4),1 x LAN 2.5Gb/s,"Wi-Fi 7 (802.11be), Bluetooth 5.4",- Realtek® ALC4080 CODEC - - High Definition Audio  - - 2-channel,RGB,,high
mainboard_047,Mainboard,Mainboard GIGABYTE B850 A ELITE WF7,7390000,https://phongvu.vn/bo-mach-chinh-mainboard-gigabyte-b850-a-elite-wf7--s250116691,Gigabyte,36 tháng,AORUS,Gaming,B850,AM5,ATX,4 khe,DDR5,256GB,"8200(O.C.), 8000(O.C), 7950(O.C), 7900(O.C), 7800(O.C), 7600(O.C.), 7400(O.C.), 7200(O.C.), 7000(O.C.), 6800(O.C.)","4 x SATA 3 6Gb/s, 3 x M.2 NVMe",M.2 SATA/NVMe,"1 x HDMI, 1 x DisplayPort",3 x PCI Express x16,- 1 x USB Type-C (Tối đa 2) - 7 x USB 3.2(Tối đa 9) - 4 x USB 2.0(Tối đa 8),1 x LAN 2.5Gb/s,"Bluetooth 5.4, Wi-Fi 7 (802.11be)",- Realtek® Audio CODEC - - High Definition Audio - - 2/4/5.1/7.1-channel,RGB,,high
mainboard_048,Mainboard,Mainboard GIGABYTE B850M GAMING X WF6E,5790000,https://phongvu.vn/bo-mach-chinh-mainboard-gigabyte-b850m-gaming-x-wf6e--s250116693,Gigabyte,36 tháng,Gaming,Gaming,B850,AM5,Micro-ATX,4 khe,DDR5,256GB,"8200(O.C.), 8000(O.C), 7950(O.C), 7900(O.C), 7800(O.C), 7600(O.C.), 7400(O.C.), 7200(O.C.), 7000(O.C.), 6800(O.C.)","6 x M.2 NVMe, 4 x SATA 3 6Gb/s",M.2 NVMe,"1 x HDMI, 2 x DisplayPort",2 x PCI Express x16,- 1 x USB Type-C (Tối đa 2) - 7 x USB 3.2(Tối đa 9) - 4 x USB 2.0(Tối đa 8),1 x LAN 2.5Gb/s,"WiFi 802.11 a/b/g/n/ac/ax, Bluetooth 5.3",Realtek® Audio CODEC - High Definition Audio - 2/4/5.1/7.1-channel,RGB,,high
mainboard_049,Mainboard,Mainboard Msi MEG Z890 ACE,20090000,https://phongvu.vn/bo-mach-chinh-mainboard-msi-meg-z890-ace--s250116592,Msi,36 tháng,MEG,Gaming,Z890,LGA1851,ATX,4 khe,DDR5,256GB,"8000(O.C), 7950(O.C), 7900(O.C), 7800(O.C), 7600(O.C.), 7400(O.C.), 7200(O.C.), 7000(O.C.), 6800(O.C.), 6600(O.C.)","4 x M.2 NVMe, 1 x M.2 SATA/NVMe",M.2 SATA/NVMe,"1 x HDMI, 2 x Thunderbolt 4",3x PCI-E x16 slot,2 x USB Type C (Tối đa 2) 11 x USB 3.2 (Tối đa 15) USB 2.0 (Tối đa 4),1 x LAN 10Gb/s,"Bluetooth 5.4, Wi-Fi 7 (802.11be)",Realtek® ALC4082 Codec + ESS9219Q Combo DAC/HPA -  7.1-Channel USB High-Performance Audio,RGB,,high
mainboard_050,Mainboard,Mainboard GIGABYTE Z790 AORUS PRO X DDR5,9890000,https://phongvu.vn/bo-mach-chinh-mainboard-gigabyte-z790-aorus-pro-x-ddr5-wifi-bluetooth--s250115756,Gigabyte,36 tháng,AORUS,Gaming,Z790,LGA1700,ATX,4 khe,DDR5,256GB,"8266(O.C.), 8200(O.C.), 8000(O.C), 7950(O.C), 7900(O.C), 7800(O.C), 7600(O.C.), 7400(O.C.), 7200(O.C.), 7000(O.C.)","4 x SATA 3 6Gb/s, 4 x M.2 NVMe, 1 x M.2 SATA/NVMe",M.2 SATA/NVMe,"1 x HDMI, 1 x USB Type-C",3 x PCI Express x16,- 2 x USB Type-C (tối đa 4) - 6 x USB 3.2(tối đa 4) - 2 x USB 2.0 (tối đa 6),1 x LAN 5Gb/s,"Bluetooth 5.3, Wi-Fi 7 (802.11be)",Realtek® ALC1220-VB CODEC,RGB,,high
mainboard_051,Mainboard,Mainboard ASUS ROG CROSSHAIR X870E HERO (AMD X870E | ATX | 4 x DDR5 | AM5),18390000,https://phongvu.vn/mainboard-asus-rog-crosshair-x870e-hero-amd-x870e-atx-4-x-ddr5-am5--s241202522,Asus,36 tháng,ROG,Gaming,X870E,AM5,ATX,4 khe,DDR5,192GB,"8200+(OC), 8600(OC), 8000+(OC)","5 x M.2 NVMe, 4 x SATA 3 6Gb/s",M.2 NVMe,"1 x HDMI, 2 x USB Type-C",2 x PCIe 5.0 x16,4 x USB Type-C (Tối đa 6) 6 x USB 3.2 (Tối đa 10) USB 2.0 (Tối đa 4),"1 x LAN 2.5Gb/s, 1 x LAN 5Gb/s","Wi-Fi 7 (802.11be), Bluetooth 5.4",ROG SupremeFX 7.1 Surround Sound High Definition Audio CODEC ALC4082,RGB,,high
mainboard_052,Mainboard,Mainboard ASUS TUF GAMING X870-PLUS WIFI 7 - DDR5,9990000,https://phongvu.vn/mainboard-asus-tuf-gaming-x870-plus-wifi--s241105133,Asus,36 tháng,TUF,"Gaming, Văn phòng",X870,AM5,ATX,4 khe,DDR5,192GB,8000+MT/s (OC),4 x M.2 NVMe,M.2 SATA/NVMe,"1 x HDMI, 1 x DisplayPort",1 x PCIe 5.0 x16 slot; 1 x PCIe 4.0 x16 slot; 1 x PCIe 4.0 x16 slot,- 2 x USB Type-C (Tối đa 2) - - 7 x USB Type-A(tối đa 9) - - 1 x USB 2.0(Tối đa 3),1 x LAN 2.5Gb/s,"Wi-Fi 7 (802.11be), Bluetooth 5.4",Realtek ALC1220P 7.1 Surround Sound High Definition Audio CODEC,,,high
mainboard_053,Mainboard,Mainboard Asus ProArt X870E-CREATOR WIFI 7 - DDR5,14390000,https://phongvu.vn/mainboard-asus-proart-x870e-creator-wifi--s241105125,Asus,36 tháng,PROART,"Gaming, Văn phòng",X870E,AM5,ATX,4 khe,DDR5,192GB,8000+MT/s (OC),"4 x SATA 3 6Gb/s, 4 x M.2 NVMe",M.2 SATA/NVMe,"1 x HDMI, 1 x DisplayPort",2 x PCIe 5.0 x16 slot; 1 x PCIe 4.0 x16 slot; 1 x PCIe 4.0 x16 slot,3 x USB Type-C (Tối đa 4) - - 8 x USB Type-A(tối đa 8) - - 1 x USB 2.0(Tối đa 4),"1 x LAN 10Gb/s, 1 x LAN 2.5Gb/s","Wi-Fi 7 (802.11be), Bluetooth 5.4",Realtek ALC1220P 7.1 Surround Sound High Definition Audio CODEC,,,high
mainboard_054,Mainboard,Mainboard MSI MAG B550M MORTAR MAX WIFI,3990000,https://phongvu.vn/bo-mach-chu-mainboard-msi-mag-b550m-mortar-max-wifi--s241105038,Msi,36 tháng,MAG,Gaming,B550,AM4,Micro-ATX,4 khe,DDR4,128GB,"1866MHz, 2133MHz, 2400MHz, 2667MHz, 2933MHz, 3000MHz, 3066MHz, 3200MHz, 2800MHz, 3466MHz","1 x M.2 NVMe, 6 x SATA 3 6Gb/s, 1 x M.2 SATA/NVMe",M.2 SATA/NVMe,"1 x HDMI, 1 x DisplayPort",1 x PCIe 3.0/ 4.0 x16; 1 x PCIe 3.0 x16; 2 x PCIe 3.0 x1,1 x USB Type-C (tối đa 2) - 3 x USB 3.2 (tối đa 4) - 2 x USB 2.0 (tối đa 6),1 x LAN 2.5Gb/s,"WiFi 802.11 a/b/g/n/ac/ax, Bluetooth 5.2",Realtek ALC1220P Codec,,AMD CrossFire,mid
mainboard_055,Mainboard,Mainboard ASUS ROG MAXIMUS Z890 HERO,20090000,https://phongvu.vn/mainboard-asus-rog-maximus-z890-hero--s241004049,Asus,36 tháng,ROG,Gaming,Z890,LGA1851,ATX,4 khe,DDR5,192GB,9600+ MT/s (OC),"4 x SATA 3 6Gb/s, 6 x M.2 NVMe",M.2 NVMe,"1 x HDMI, 2 x Thunderbolt 4",1 x PCIe 5.0 x16; 1 x PCIe 4.0 x16; 1 x PCIe 4.0 x1,1 x USB Type-C (Tối đa 3) -  8 x USB 3.2 (Tối đa 12) -  USB 2.0 (Tối đa 4),"1 x LAN 2.5Gb/s, 1 x LAN 5Gb/s","Wi-Fi 7 (802.11be), Bluetooth 5.4",ROG SupremeFX 7.1 Surround Sound High Definition Audio CODEC ALC4082,,,high
mainboard_056,Mainboard,Mainboard ASUS ROG ROG STRIX Z890-E GAMING | DDR5 - Wifi 7,14690000,https://phongvu.vn/mainboard-asus-rog-rog-strix-z890-e-gaming-ddr5-wifi-7--s241004045,Asus,36 tháng,ROG,Gaming,Z890,LGA1851,ATX,4 khe,DDR5,192GB,8800(O.C),"4 x SATA 3 6Gb/s, 6 x M.2 NVMe, 1 x M.2 SATA/NVMe",M.2 NVMe,"1 x HDMI, 1 x DisplayPort, 2 x Thunderbolt 4",1 x PCIe 5.0 x16; 1 x PCIe 4.0 x16,2 x USB Type-C (Tối đa 3) -  10 x USB 3.2 (Tối đa 14) -  USB 2.0 (Tối đa 6),1 x LAN 5Gb/s,"Wi-Fi 7 (802.11be), Bluetooth 5.4",ROG SupremeFX 7.1 Âm Thanh Vòm Độ Nét Cao CODEC ALC4080,RGB,,high
mainboard_057,Mainboard,Mainboard ASUS TUF TUF GAMING Z890-PRO | DDR5 - Wifi 7,10490000,https://phongvu.vn/mainboard-asus-tuf-tuf-gaming-z890-pro-ddr5-wifi-7--s241004048,Asus,36 tháng,TUF,Gaming,Z890,LGA1851,ATX,4 khe,DDR5,192GB,8600(OC),"4 x SATA 3 6Gb/s, 1 x M.2 SATA/NVMe, 3 x M.2 NVMe",M.2 NVMe,"1 x HDMI, 1 x DisplayPort, 2 x Thunderbolt 4",1 x PCIe 5.0 x16; 1 x PCIe 4.0 x16 (hỗ trợ chế độ x4); 1 x  PCIe 4.0 x4; 2 x PCIe 4.0 x1,2 x Thunderbolt™ 4 -  6 x USB 3.2 (Tối đa 8) -  USB 2.0 (Tối đa 4),1 x LAN 2.5Gb/s,"Bluetooth 5.4, Wi-Fi 7 (802.11be)",Realtek ALC1220P 7.1 Surround Sound High Definition Audio CODEC,,,high
mainboard_058,Mainboard,Mainboard ASUS ROG ROG STRIX Z890-F GAMING | DDR5 - Wifi 7,12890000,https://phongvu.vn/mainboard-asus-rog-rog-strix-z890-f-gaming-ddr5-wifi-7--s241004035,Asus,36 tháng,ROG,Gaming,Z890,LGA1851,ATX,4 khe,DDR5,192GB,8600(OC),"4 x M.2 NVMe, 1 x M.2 SATA/NVMe, 4 x SATA 3 6Gb/s",M.2 NVMe,"1 x HDMI, 1 x DisplayPort, 2 x Thunderbolt 4",1 x PCIe 5.0 x16; 1 x PCIe 4.0 x16,2 x USB Type-C (Tối đa 3) -  8 x USB 3.2 (Tối đa 12) -  2 x USB 2.0 (Tối đa 6),1 x LAN 2.5Gb/s,"Wi-Fi 7 (802.11be), Bluetooth 5.4",ROG SupremeFX 7.1 Surround Sound High Definition Audio CODEC ALC4080,RGB,,high
mainboard_059,Mainboard,Mainboard ASUS PROART ProArt Z890-CREATOR | DDR5 - Wifi 7,14390000,https://phongvu.vn/mainboard-asus-proart-proart-z890-creator-ddr5-wifi-7--s241004037,Asus,36 tháng,PROART,Gaming,Z890,LGA1851,ATX,4 khe,DDR5,192GB,8600(OC),"4 x M.2 NVMe, 4 x SATA 3 6Gb/s, 1 x M.2 SATA/NVMe",M.2 NVMe,"1 x HDMI, 2 x Thunderbolt 5, 1 x Thunderbolt 4, 1 x DisplayPort",2 x PCIe 5.0 x16; 1 x PCIe 4.0 x16,6 x USB 3.2 (Tối đa 8) -  1 x USB 2.0 (Tối đa 3),"1 x LAN 2.5Gb/s, 1 x LAN 10Gb/s",,Realtek ALC1220P 7.1 Surround Sound High Definition Audio CODEC,,,high
mainboard_060,Mainboard,Mainboard MSI Gaming Z890 GAMING PLUS | DDR5 - Wifi 7,8890000,https://phongvu.vn/mainboard-msi-gaming-z890-gaming-plus-ddr5-wifi-7--s241003317,Msi,36 tháng,Gaming,Gaming,Z890,LGA1851,ATX,4 khe,DDR5,256GB,"9200(O.C), 6400(OC), 4800(JEDEC), 7200+(OC)","4 x SATA 3 6Gb/s, 1 x M.2 SATA/NVMe, 3 x M.2 NVMe",M.2 NVMe,"1 x HDMI, 1 x DisplayPort, 1 x Thunderbolt 4",3 x PCI-E x16 slot; 1 x PCI-E x1 slot,1 x USB Type C (Tối đa 2) 3 x USB 3.2 (Tối đa 7) 4 x USB 2.0 (Tối đa 8),1 x LAN 5Gb/s,"Wi-Fi 7 (802.11be), Bluetooth 5.4",Realtek® ALC897 Codec -  7.1-Channel High Definition Audio,RGB,,high
mainboard_061,Mainboard,Mainboard MSI MPG MPG Z890 EDGE TI | DDR5 - Wifi 7,13490000,https://phongvu.vn/mainboard-msi-mpg-mpg-z890-edge-ti-ddr5-wifi-7--s241003319,Msi,36 tháng,MPG,Gaming,Z890,LGA1851,ATX,4 khe,DDR5,256GB,"9200(O.C), 6400(OC), 4800(JEDEC), 7200MHz","4 x SATA 3 6Gb/s, 1 x M.2 SATA/NVMe, 4 x M.2 NVMe",M.2 NVMe,"1 x HDMI, 2 x Thunderbolt 4",2 x PCI-E x16; 1x PCI-E x1,1 x USB Type C (Tối đa 2) 8 x USB 3.2 (Tối đa 10) 1 x USB 2.0 (Tối đa 5),1 x LAN 5Gb/s,"Bluetooth 5.4, Wi-Fi 7 (802.11be)",Realtek® ALC1220P Codec 7.1-Channel USB High Definition Audio,RGB,,high
