ID,category,name,price,link,brand,warranty,type,part_number,color,led,use_case,Dung lượng,Thế hệ,speed,timing,voltage,Mô tả bảo hành,ecc,capacity_gb,speed_mhz
ram_055,RAM,RAM desktop Kingston (1 x 16GB) DDR5 5600MHz (KVR56U46BS8-16WP),7990000,https://phongvu.vn/bo-nho-trong-ram-kingston-ddr5-16g-5600-mhz-cl46-udimm-kvr56u46bs8-16wp--s250809217,Kingston,36 tháng,DDR5,KVR56U46BS8-16WP,Xanh,Không LED,Văn phòng,1 x 16GB,DDR5,5600MHz,46.0,1.1V,,ECC,16,5600.0
ram_056,RAM,RAM desktop Kingston FURY Beast RGB (2 x 8GB) DDR5 5200MHz (KF552C40BBAK2-16),7190000,https://phongvu.vn/bo-nho-trong-ram-kingston-ddr5-16gb-5200-mhz-cl40-dimm-kit-2-x-8g-fury-beast-rgb-kf552c40bbak2-16--s250809142,Kingston,36 tháng,DDR5,KF552C40BBAK2-16,Đen,RGB,Gaming,2 x 8GB,DDR5,5200MHz,40.0,1.25V,,,16,5200.0
ram_057,RAM,RAM desktop G.skill Trident Z5 Neo RGB (2 x 32GB) DDR5 6000MHz (F5-6000J3636F32GX2-TZ5NR),33990000,https://phongvu.vn/bo-nho-trong-ram-pc-g-skill-trident-z5-neo-rgb-64gb-2x32gb-6000mhz-black-f5-6000j3636f32gx2-tz5nr--s250722535,G.skill,36 tháng,DDR5,F5-6000J3636F32GX2-TZ5NR,Đen,RGB,Gaming,2 x 32GB,DDR5,6000MHz,36.0,1.35V,,,64,6000.0
ram_058,RAM,RAM server Kingston (1 x 16GB) DDR5 5600MHz (KSM56E46BS8KM-16HA),6590000,https://phongvu.vn/bo-nho-trong-ram-kingston-16gb-1rx8-pc5-5600b-udimm-ksm56e46bs8km-16ha--s250711182,Kingston,36 tháng,DDR5,KSM56E46BS8KM-16HA,Xanh,,Văn phòng,1 x 16GB,DDR5,5600MHz,46.0,1.1V,,ECC,16,5600.0
ram_059,RAM,Silicon (1 x 16GB) DDR4 3200MHz (SP016GXLZU320BSD),1390000,https://phongvu.vn/bo-nho-trong-ram-silicon-ddr4-3200-c16-rgb-udim-16gb-w-hs-sp016gxlzu320bsd--s250709450,Silicon,60 tháng,DDR4,SP016GXLZU320BSD,Đen,RGB,"Gaming, Văn phòng",1 x 16GB,DDR4,3200MHz,16.0,1.35V,,,16,3200.0
ram_060,RAM,RAM desktop Kingston FURY Beast RGB EXPO (2 x 32GB) DDR5 6000MHz (KF560C36BBEAK2-64),24590000,https://phongvu.vn/bo-nho-trong-ram-kingston-64gb-6000mt-s-ddr5-cl36-dimm-kit-of-2-fury-beast-rgb-expo-kf560c36bbeak2-64--s250520581,Kingston,36 tháng,DDR5,KF560C36BBEAK2-64,Đen,RGB,Văn phòng,2 x 32GB,DDR5,6000MHz,,1.35V,Tối thiểu 36T hoặc đến khi bỏ mẫu,,64,6000.0
ram_061,RAM,RAM desktop Corsair Vengeance RGB (2 x 16GB) DDR5 6000MHz (CMH32GX5M2E6000C36),14190000,https://phongvu.vn/bo-nho-trong-ram-corsair-ddr5-6000mhz-32gb-2x16gb-dimm-vengeance-rgb-black-heatspreader-rgb-led-1-25v--s250418645,Corsair,36 tháng,DDR5,CMH32GX5M2E6000C36,Đen,RGB,Văn phòng,2 x 16GB,DDR5,6000MHz,36.0,1.25V,,,32,6000.0
ram_062,RAM,RAM desktop Corsair DOMINATOR TITANIUM RGB (2 x 48GB) DDR5 6600 MHz (CMP64GX5M2X6600C32W),44990000,https://phongvu.vn/bo-nho-trong-ram-corsair-ddr5-6600mt-s-96gb-2x48gb-dimm-xmp-3-0-dominator-titanium-black-heatspreader-rgb-led-1-4v--s250418647,Corsair,36 tháng,DDR5,CMP64GX5M2X6600C32W,Đen,RGB,"Văn phòng, Đồ họa - Kỹ thuật",2 x 48GB,DDR5,6600 MHz,32.0,1.4V,,,96,6600.0
ram_063,RAM,RAM desktop Kingston FURY Beast (2 x 32GB) DDR5 5600MHz (KF556C40BBAK2-64),28990000,https://phongvu.vn/bo-nho-trong-ram-desktop-kingston-fury-beast-rgb-ddr5-64gb-2-x-32g-5600mhz--s250415369,Kingston,36 tháng,DDR5,KF556C40BBAK2-64,Đen,RGB,Gaming,2 x 32GB,DDR5,5600MHz,36.0,1.4V,,,64,5600.0
ram_064,RAM,RAM desktop TeamGroup Elite (1 x 16GB) DDR5 5600MHz (TED516G5600C4601),2090000,https://phongvu.vn/bo-nho-trong-ram-teamgroup-elite-16gb-ddr5-5600--s250203274,TeamGroup,36 tháng,DDR5,TED516G5600C4601,Đen,,Gaming,1 x 16GB,DDR5,5600MHz,46.0,1.1V,,,16,5600.0
ram_065,RAM,RAM laptop TeamGroup Elite (1 x 16GB) DDR5 5600MHz (TED516G5600C46A-S01),6690000,https://phongvu.vn/bo-nho-trong-ram-laptop-teamgroup-elite-16gb-ddr5-5600--s250203270,TeamGroup,36 tháng,DDR5,TED516G5600C46A-S01,Đen,,Gaming,1 x 16GB,DDR5,5600MHz,46.0,1.1V,,,16,5600.0
ram_066,RAM,RAM desktop TeamGroup Delta RGB (1 x 16GB) DDR5 6000MHz (FF3D516G6000HC38G01),6890000,https://phongvu.vn/bo-nho-trong-ram-teamgroup-delta-black-rgb-16gb-ddr5-6000-cl38-46--s250203230,TeamGroup,60 tháng,DDR5,FF3D516G6000HC38G01,Đen,RGB,Gaming,1 x 16GB,DDR5,6000MHz,38.0,1.25V,,,16,6000.0
ram_067,RAM,RAM desktop Crucial (1 x 16GB) DDR5 5600MHz (CT16G56C46U5),6790000,https://phongvu.vn/bo-nho-ram-desktop-ddr5-crucial-16gb-5600-ct16g56c46u5--s250102936,Crucial,36 tháng,DDR5,CT16G56C46U5,Đen,Không LED,Văn phòng,1 x 16GB,DDR5,5600MHz,46.0,1.1V,,,16,5600.0
ram_068,RAM,RAM desktop TeamGroup Elite (1 x 16GB) DDR4 3200MHz (TED416G3200C2201),950000,https://phongvu.vn/bo-nho-trong-ram-desktop-teamgroup-elite-16gb-ddr4-3200-ted416g3200c2201--s241002564,TeamGroup,36 tháng,DDR4,TED416G3200C2201,Đen,,Gaming,1 x 16GB,DDR4,3200MHz,22.0,1.2V,,,16,3200.0
ram_069,RAM,RAM Teamgroup Xtreem ARGB Black 2x24GB DDR5-8000,8590000,https://phongvu.vn/ram-teamgroup-xtreem-argb-black-2x24gb-ddr5-8000--s240902582,Team,60 tháng,DDR5,FF9D548G8000HC38EDC01,Đen,ARGB,"Gaming, Đồ họa - Kỹ thuật",2 x 24GB,DDR5,8000MHz,38.0,1.4V,,,24,8000.0
ram_070,RAM,RAM desktop TEAM FF9D548G7200HC34ADC01 (2 x 24GB) DDR5 7200MHz (FF9D548G7200HC34ADC01),6790000,https://phongvu.vn/bo-nho-trong-ram-teamgroup-xtreem-black-2x24gb-ddr5-7200-ff9d548g7200hc34adc01--s240703615,Team,60 tháng,DDR5,FF9D548G7200HC34ADC01,Đen,ARGB,"Gaming, Đồ họa - Kỹ thuật",2 x 24GB,DDR5,7200MHz,38.0,1.4V,,ECC,48,7200.0
ram_071,RAM,RAM desktop CORSAIR Vengeance LPX Black Heatspreader (1 x 16GB) DDR5 5600MHz (CMK16GX5M1B5600C40),6890000,https://phongvu.vn/bo-nho-trong-ram-corsair-ddr5-5600mhz-16gb-dimm-vengeance-lpx-black-heatspreader-c40-1-25v-cmk16gx5m1b5600c40--s240302549,Corsair,36 tháng,DDR5,CMK16GX5M1B5600C40,Đen,,Văn phòng,1 x 16GB,DDR5,5600MHz,40.0,1.25V,,,16,5600.0
ram_072,RAM,RAM desktop Adata XPG SPECTRIX D35G (1 x 16GB) DDR4 3200MHz (AX4U320016G16A-SBKD35G),4590000,https://phongvu.vn/bo-nho-ram-desktop-adata-xpg-spectrix-d35g-16gb-ddr4-3200-ax4u320016g16a-sbkd35g--s230702528,Adata,60 tháng,DDR4,AX4U320016G16A-SBKD35G,Đen,Không LED,"Gaming, Văn phòng",1 x 16GB,DDR4,3200MHz,18.0,1.35V,,,16,3200.0
ram_073,RAM,RAM desktop Corsair Dominator Platinum RGB (2 x 32GB) DDR5 5200MHz (CMT64GX5M2B5200C40),6799000,https://phongvu.vn/bo-nho-ram-corsair-ddr5-5200mhz-64gb-2x32gb-dimm-dominator-platinum-rgb-black-heatspreader-rgb-led-c40-1-25v-cmt64gx5m2b5200c40--s230302722,Corsair,36 tháng,DDR5,CMT64GX5M2B5200C40,Đen,RGB,"Gaming, Đồ họa - Kỹ thuật",2 x 32GB,DDR5,5200MHz,40.0,1.25V,,,64,5200.0
ram_074,RAM,RAM desktop Corsair Vengeance LPX (2 x 16GB) DDR5 5200MHz (CMK32GX5M2B5200C40),3790000,https://phongvu.vn/bo-nho-ram-corsair-ddr5-5200mhz-32gb-2x16gb-dimm-vengeance-lpx-black-heatspreader-c40-1-25v-cmk32gx5m2b5200c40--s230302710,Corsair,36 tháng,DDR5,CMK32GX5M2B5200C40,Đen,Không LED,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp",2 x 16GB,DDR5,5200MHz,40.0,1.25V,,,32,5200.0
ram_075,RAM,RAM desktop Apacer NOX RGB AURA 2 (1 x 16GB) DDR4 3200MHz (AH4U16G32C28YNWAA-1),1890000,https://phongvu.vn/ram-desktop-apacer-ddr4-16g-3200-oc-nox-rgb-white-aura-2-ah4u16g32c28ynwaa-1--s220706827,Apacer,36 tháng,DDR4,AH4U16G32C28YNWAA-1,Trắng,RGB,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",1 x 16GB,DDR4,3200MHz,38.0,1.35V,,,16,3200.0
ram_076,RAM,RAM desktop Crucial (1 x 16GB) DDR5 4800MHz (CT16G48C40U5),6790000,https://phongvu.vn/ram-desktop-crucial-16gb-ddr5-4800-ct16g48c40u5--s220700867,Crucial,36 tháng,DDR5,CT16G48C40U5,Đen,Không LED,"Văn phòng, Doanh nghiệp, Học sinh - Sinh viên",1 x 16GB,DDR5,4800MHz,40.0,1.1V,,,16,4800.0
ram_077,RAM,RAM desktop Crucial (1 x 8GB) DDR5 4800MHz (CT8G48C40U5),3690000,https://phongvu.vn/ram-desktop-crucial-8gb-ddr5-4800-ct8g48c40u5--s220700866,Crucial,36 tháng,DDR5,CT8G48C40U5,Đen,Không LED,"Văn phòng, Doanh nghiệp, Học sinh - Sinh viên",1 x 8GB,DDR5,4800MHz,40.0,1.1V,,,8,4800.0
ram_078,RAM,RAM desktop Kingston FURY Beast (2 x 16GB) DDR5 6000MHz (KF560C40BBK2-32),3199000,https://phongvu.vn/ram-kingston-fury-beast-k2-32gb-ddr5--s220500527,Kingston,36 tháng,DDR5,KF560C40BBK2-32,Đen,Không LED,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",2 x 16GB,DDR5,6000MHz,40.0,1.35V,,,32,6000.0
ram_079,RAM,RAM desktop Kingston FURY Beast (1 x 16GB) DDR5 5200MHz (KF552C40BB-16),6990000,https://phongvu.vn/ram-kingston-fury-beast-black-16gb-ddr5--s220500526,Kingston,36 tháng,DDR5,KF552C40BB-16,Đen,Không LED,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",1 x 16GB,DDR5,5200MHz,40.0,1.1V,,,16,5200.0
ram_080,RAM,RAM desktop Kingston (1 x 16GB) DDR5 4800MHz (KVR48U40BS8-16),6890000,https://phongvu.vn/ram-kingston-16gb-ddr5-kvr48u40bs8-16--s220500525,Kingston,36 tháng,DDR5,KVR48U40BS8-16,Xanh,Không LED,,1 x 16GB,DDR5,4800MHz,40.0,1.1V,,,16,4800.0
ram_081,RAM,RAM desktop Kingston FURY Beast (2 x 16GB) DDR5 5200MHz (KF552C40BBK2-32),4590000,https://phongvu.vn/bo-nho-ram-kingston-fury-beast-black-32gb-2x16gb-ddr5-5200mhz-kf552c40bbk2-32--s211109621,Kingston,36 tháng,DDR5,KF552C40BBK2-32,Đen,Không LED,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",2 x 16GB,DDR5,5200MHz,,1.2V,,,32,5200.0
ram_082,RAM,RAM desktop Kingston FURY Beast (1 x 16GB) DDR5 4800MHz (KF548C38BB-16),1549000,https://phongvu.vn/bo-nho-ram-kingston-fury-beast-black-16gb-1x16gb-ddr5-4800mhz-kf548c38bb-16--s211109619,Kingston,36 tháng,DDR5,KF548C38BB-16,Đen,Không LED,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",1 x 16GB,DDR5,4800MHz,,1.1V,,,16,4800.0
ram_083,RAM,RAM desktop Corsair Dominator Platinum RGB (2 x 8GB) DDR4 3200MHz (CMT16GX4M2E3200C16),4890000,https://phongvu.vn/bo-nho-ram-desktop-corsair-dominator-platinum-rgb-black-heatspreader-16gb-2x-8gb-ddr4-3200mhz-cmt16gx4m2e3200c16--s210801011,Corsair,36 tháng,DDR4,CMT16GX4M2E3200C16,Đen,RGB,"Gaming, Đồ họa - Kỹ thuật",2 x 8GB,DDR4,3200MHz,16.0,,,,16,3200.0
ram_084,RAM,RAM desktop Corsair Vengeance RGB (2 x 48GB) DDR5 6000MHz (CMH96GX5M2E6000C36),36990000,https://phongvu.vn/bo-nho-trong-ram-corsair-ddr56000mhz-96gb-2x48gb-dimm-vengeance-rgb-black-heatspreader-rgb-led-cmh96gx5m2e6000c36--s251005766,Corsair,36 tháng,DDR5,CMH96GX5M2E6000C36,Đen,RGB,Gaming,2 x 48GB,DDR5,6000MHz,36.0,1.4V,,,96,6000.0
ram_085,RAM,RAM desktop Corsair Vengeance RGB (2 x 32GB) DDR5 6000MHz (CMH64GX5M2B6000Z40),8990000,https://phongvu.vn/bo-nho-trong-ram-corsair-ddr56000mhz-64gb-2x32gb-dimm-vengeance-rgb-grey-heatspreader-rgb-led-cmh64gx5m2b6000z40--s251005765,Corsair,36 tháng,DDR5,CMH64GX5M2B6000Z40,Xám,RGB,Gaming,2 x 32GB,DDR5,6000MHz,40.0,1.35V,,,64,6000.0
ram_086,RAM,RAM desktop Corsair Vengeance RGB (2 x 16GB) DDR5 6000MHz (CMH32GX5M2E6000Z36W),14190000,https://phongvu.vn/bo-nho-trong-ram-corsair-ddr56000mhz-32gb-2x32gb-dimm-vengeance-rgb-white-heatspreader-rgb-led-cmh32gx5m2e6000z36w--s251005763,Corsair,36 tháng,DDR5,CMH32GX5M2E6000Z36W,Trắng,RGB,Gaming,2 x 16GB,DDR5,6000MHz,36.0,1.35V,,,32,6000.0
ram_087,RAM,RAM desktop Kingston FURY Beast RGB EXPO (2 x 32GB) DDR5 6000MHz (KF560C36BBE2AK2-64),32990000,https://phongvu.vn/bo-nho-trong-ram-kingston-ddr5-64gb-6000-mhz-cl36-dimm-kit-2-x-32g-fury-beast-rgb-expo-kf560c36bbe2ak2-64--s250809156,Kingston,36 tháng,DDR5,KF560C36BBE2AK2-64,Đen,RGB,Gaming,2 x 32GB,DDR5,6000MHz,36.0,1.25V,,,64,6000.0
ram_088,RAM,RAM desktop Kingston FURY Beast RGB (2 x 8GB) DDR5 5600MHz (KF556C40BBAK2-16),8990000,https://phongvu.vn/bo-nho-trong-ram-kingston-ddr5-16gb-5600-mhz-cl40-dimm-2-x-8g-fury-beast-rgb-kf556c40bbak2-16--s250809149,Kingston,36 tháng,DDR5,KF556C40BBAK2-16,Đen,RGB,Gaming,2 x 8GB,DDR5,5600MHz,40.0,1.25V,,,16,5600.0
ram_089,RAM,RAM desktop Kingston FURY Beast (1 x 16GB) DDR5 5600MHz (KF556C40BB-16WP),7990000,https://phongvu.vn/bo-nho-trong-ram-kingston-ddr5-16gb-5600-mhz-cl40-dimm-fury-beast-black-kf556c40bb-16wp--s250809133,Kingston,36 tháng,DDR5,KF556C40BB-16WP,Đen,Không LED,Văn phòng,1 x 16GB,DDR5,5600MHz,40.0,1.1V,,,16,5600.0
ram_090,RAM,RAM desktop TeamGroup Vulcan Z (1 x 16GB) DDR4 3200MHz (TLZGD416G3200HC16F01),1090000,https://phongvu.vn/bo-nho-trong-ram-teamgroup-vulcan-z-gray-16gb-ddr4-3200-tlzgd416g3200hc16f01--s250803163,TeamGroup,60 tháng,DDR4,TLZGD416G3200HC16F01,Xám,Không LED,"Gaming, Văn phòng",1 x 16GB,DDR4,3200MHz,16.0,1.35V,,,16,3200.0
ram_091,RAM,RAM desktop Corsair DOMINATOR TITANIUM RGB (2 x 48GB) DDR5 6000MHz (CMP96GX5M2B6000Z30W),14590000,https://phongvu.vn/bo-nho-trong-ram-corsair-ddr5-6000mt-s-96gb-2x48gb-dimm-xmp-3-0-dominator-titanium-white-heatspreader-for-amd-rgb-led-1-4v-cmp96gx5m2b6000z30w--s250719887,Corsair,36 tháng,DDR5,CMP96GX5M2B6000Z30W,Trắng,RGB,Gaming,2 x 48GB,DDR5,6000MHz,36.0,1.4V,,,96,6000.0
ram_092,RAM,RAM desktop Corsair DOMINATOR TITANIUM RGB (2 x 32GB) DDR5 6000MHz (CMP64GX5M2B6000Z30W),30590000,https://phongvu.vn/bo-nho-trong-ram-corsair-ddr56000mt-s-64gb-2x32gb-dimm-xmp-3-0-dominator-titanium-white-heatspreader-for-amd-rgb-led-1-4v-cmp64gx5m2b6000z30w--s250719878,Corsair,36 tháng,DDR5,CMP64GX5M2B6000Z30W,Trắng,RGB,Gaming,2 x 32GB,DDR5,6000MHz,36.0,1.4V,,,64,6000.0
ram_093,RAM,RAM desktop Corsair DOMINATOR TITANIUM RGB (2 x 16GB) DDR5 6000MHz (CMP32GX5M2B6000Z30W),15390000,https://phongvu.vn/bo-nho-trong-ram-corsair-ddr56000mt-s-32gb-2x16gb-dimm-xmp-3-0-dominator-titanium-white-heatspreader-for-amd-rgb-led-1-4v-cmp32gx5m2b6000z30w--s250719868,Corsair,36 tháng,DDR5,CMP32GX5M2B6000Z30W,Trắng,RGB,Gaming,2 x 16GB,DDR5,6000MHz,36.0,1.4V,,,32,6000.0
ram_094,RAM,RAM desktop Corsair DOMINATOR TITANIUM RGB (2 x 16GB) DDR5 7200MHz (CMP32GX5M2X7200C34W),17990000,https://phongvu.vn/bo-nho-trong-ram-corsair-ddr57200mt-s-32gb-2x16gb-dimm-xmp-3-0-dominator-titanium-white-heatspreader-rgb-led-1-45v-cmp32gx5m2x7200c34w--s250719857,Corsair,36 tháng,DDR5,CMP32GX5M2X7200C34W,Đen,RGB,Gaming,2 x 16GB,DDR5,7200MHz,40.0,1.45V,,,32,7200.0
ram_095,RAM,RAM desktop TeamGroup Vulcan (1 x 16GB) DDR5 6000MHz,6690000,https://phongvu.vn/bo-nho-trong-ram-teamgroup-vulcan-black-16gb-ddr5-6000--s250717332,TeamGroup,60 tháng,DDR5,,Đen,Không LED,Văn phòng,1 x 16GB,DDR5,6000MHz,38.0,1.25V,,,16,6000.0
ram_096,RAM,RAM desktop Kingston FURY Beast RGB EXPO (2 x 16GB) DDR5 6000MHz,16990000,https://phongvu.vn/bo-nho-trong-ram-kingston-kit-32gb-6000mt-s-ddr5-cl36-dimm-fury-beast-rgb-expo-kf560c36bbe2ak2-32wp-2pcs-16g--s250717329,Kingston,36 tháng,DDR5,,Đen,RGB,Gaming,2 x 16GB,DDR5,6000MHz,36.0,1.35V,,,32,6000.0
ram_097,RAM,RAM desktop Kingston FURY Beast RGB EXPO (2 x 16GB) DDR5 6000MHz (DIMM (Kit of 2) FURY Beast RGB EXPO),3840000,https://phongvu.vn/bo-nho-trong-ram-kingston-32gb-6000mt-s-ddr5-cl36-dimm-kit-of-2-fury-beast-rgb-expo-kf560c36bbe2ak2-32--s250520593,Kingston,36 tháng,DDR5,DIMM (Kit of 2) FURY Beast RGB EXPO,Đen,RGB,Văn phòng,2 x 16GB,DDR5,6000MHz,36.0,1.35V,Tối thiểu 36T hoặc đến khi bỏ mẫu,,32,6000.0
ram_098,RAM,RAM desktop Kingston FURY Beast EXPO (2 x 16GB) DDR5 6000MHz (KF560C36BBE2K2-32),3380000,https://phongvu.vn/bo-nho-trong-ram-kingston-32gb-6000mt-s-ddr5-cl36-dimm-kit-of-2-fury-beast-black-expo-kf560c36bbe2k2-32--s250520594,Kingston,36 tháng,DDR5,KF560C36BBE2K2-32,Đen,Không LED,Văn phòng,2 x 16GB,DDR5,6000MHz,36.0,1.35V,Tối thiểu 36T hoặc đến khi bỏ mẫu,,32,6000.0
ram_099,RAM,RAM desktop Kingston FURY Beast XMP (1 x 16GB) DDR5 6000MHz (KF560C30BB-16),1890000,https://phongvu.vn/bo-nho-trong-ram-kingston-16gb-6000mt-s-ddr5-cl30-dimm-fury-beast-black-xmp-kf560c30bb-16--s250520587,Kingston,36 tháng,DDR5,KF560C30BB-16,Đen,Không LED,Văn phòng,1 x 16GB,DDR5,6000MHz,30.0,1.4V,Tối thiểu 36T hoặc đến khi bỏ mẫu,,16,6000.0
ram_100,RAM,RAM desktop Kingston FURY Beast RGB EXPO (1 x 16GB) DDR5 6000MHz (KF560C36BBE-32),1730000,https://phongvu.vn/bo-nho-trong-ram-kingston-16gb-6000mt-s-ddr5-cl36-dimm-fury-beast-black-expo-kf560c36bbe2-16--s250520580,Kingston,36 tháng,DDR5,KF560C36BBE-32,Đen,Không LED,Văn phòng,1 x 16GB,DDR5,6000MHz,36.0,1.35V,Tối thiểu 36T hoặc đến khi bỏ mẫu,,16,6000.0
ram_101,RAM,RAM desktop Kingston FURY Beast RGB EXPO (1 x 16GB) DDR5 6000MHz,1920000,https://phongvu.vn/bo-nho-trong-ram-kingston-16gb-6000mt-s-ddr5-cl36-dimm-fury-beast-rgb-expo-kf560c36bbe2a-16--s250520583,Kingston,36 tháng,DDR5,,Đen,RGB,Văn phòng,1 x 16GB,DDR5,6000MHz,36.0,1.35V,Tối thiểu 36T hoặc đến khi bỏ mẫu,,16,6000.0
ram_102,RAM,RAM desktop Corsair Dominator Platinum RGB (2 x 16GB) DDR5 6000MHz (CMT32GX5M2X6000C36W),4490000,https://phongvu.vn/bo-nho-trong-ram-corsair-ddr5-6000mhz-32gb-2x16gb-dimm-dominator-platinum-rgb-white-heatspreader-rgb-led-c36-1-25v--s250418649,Corsair,36 tháng,DDR5,CMT32GX5M2X6000C36W,Trắng,RGB,Văn phòng,2 x 16GB,DDR5,6000MHz,,1.25V,,,32,6000.0
ram_103,RAM,RAM desktop Corsair Vengeance RGB (2 x 48GB) DDR5 5600MHz (CMH96GX5M2B5600C40),10190000,https://phongvu.vn/bo-nho-trong-ram-corsair-ddr5-5600mhz-96gb-2x48gb-dimm-vengeance-rgb-black-heatspreader-rgb-led-1-25v--s250302319,Corsair,36 tháng,DDR5,CMH96GX5M2B5600C40,Đen,RGB,Gaming,2 x 48GB,DDR5,5600MHz,40.0,1.25V,,,96,5600.0
ram_104,RAM,RAM desktop Corsair Vengeance RGB (2 x 32GB) DDR5 6000MHz (CMH64GX5M2B6000C40W),9490000,https://phongvu.vn/bo-nho-trong-ram-corsair-ddr5-6000mhz-64gb-2x32gb-dimm-vengeance-rgb-white-heatspreader-rgb-led-1-35v--s250302312,Corsair,36 tháng,DDR5,CMH64GX5M2B6000C40W,Trắng,RGB,Gaming,2 x 32GB,DDR5,6000MHz,40.0,1.35V,,,64,6000.0
ram_105,RAM,RAM desktop TeamGroup Elite (1 x 32GB) DDR5 5600MHz (TED532G5600C4601),2890000,https://phongvu.vn/bo-nho-trong-ram-teamgroup-elite-32gb-ddr5-5600--s250203276,TeamGroup,36 tháng,DDR5,TED532G5600C4601,Đen,,Văn phòng,1 x 32GB,DDR5,5600MHz,46.0,1.1V,,,32,5600.0
ram_106,RAM,RAM desktop HP V2 (1 x 16GB) DDR4 3200MHz (18X16AA),1190000,https://phongvu.vn/bo-nho-trong-ram-desktop-hp-v2-ddr4-3200mhz-u-dimm-18x16aa--s240704394,HP,60 tháng,DDR4,18X16AA,Đen,Không LED,Văn phòng,1 x 16GB,DDR4,3200MHz,16.0,1.2V,,,16,3200.0
ram_107,RAM,RAM desktop Corsair Vengeance RGB (2 x 16GB) DDR5 5200MHz (CMH32GX5M2B5200C40W),5490000,https://phongvu.vn/bo-nho-ram-corsair-ddr5-5200mhz-32gb-2x16gb-dimm-vengeance-rgb-ddr5-white-heatspreader-rgb-led-1-25v-cmh32gx5m2b5200c40w--s230302714,Corsair,36 tháng,DDR5,CMH32GX5M2B5200C40W,Trắng,RGB,"Gaming, Đồ họa - Kỹ thuật",2 x 16GB,DDR5,5200MHz,40.0,1.25V,,,32,5200.0
