ID,category,name,price,link,brand,warranty,type,Màu sắc của ổ cứng,Dung lượng,Kết nối,Tốc độ đọc,Hỗ trợ hệ điều hành,Kích thước,Tốc độ vòng quay,Tốc độ ghi,Bộ nhớ NAND,cache,warranty_desc
storage_131,Storage,Ổ cứng SSD MSI SPATIUM M390 NVMe M.2 500GB,1890000,https://phongvu.vn/o-cung-ssd-msi-spatium-m390-500gb--s220500877,Msi,60 tháng,SSD,Đen,500GB,M.2 NVMe,3300MB/s,,M.2 2280,,2300MB/s,3D-NAND,,
storage_132,Storage,Ổ cứng SSD di động Crucial® X6 4TB (CT4000X6SSD9),8690000,https://phongvu.vn/ssd-di-dong-crucial-x6-4tb--s220500842,Crucial,36 tháng,SSD,Đen,4TB,USB 3.2,800MB/s,,Khác,,,Không,,
storage_133,Storage,"Ổ cứng SSD Crucial MX500 2.5"" 4TB  SATA 6.0Gb/s (CT4000MX500SSD1)",8149000,https://phongvu.vn/ssd-crucial-mx500-2-5-inch-4tb-sata---s220500838,Crucial,60 tháng,SSD,Bạc,4TB,SATA 3,560MB/s,,"2.5""",,510MB/s,3D-NAND,,
storage_134,Storage,"Ổ cứng SSD Crucial BX500 2TB SATA 3 NAND 2.5"" (CT2000BX500SSD1)",6190000,https://phongvu.vn/o-cung-ssd-crucial-bx500-2tb--s220500837,Crucial,36 tháng,SSD,Đen,2TB,SATA 3,540MB/s,,"2.5""",,500MB/s,3D-NAND,,
storage_135,Storage,Ổ cứng SSD Crucial P2  2TB  3D NAND NVMe PCIe M.2 (CT2000P2SSD8),4590000,https://phongvu.vn/ssd-crucial-p2-2tb-3d-nand-nvme-pcie-m-2--s220500835,Crucial,60 tháng,SSD,Đen,2TB,M.2 NVMe,2400MB/s,,M.2 2280,,1900MB/s,3D-NAND,,
storage_136,Storage,Ổ cứng SSD Lexar NM100 128GB M.2 2280,699000,https://phongvu.vn/o-cung-ssd-lexar-nm100-128gb-m-2-2280--s220200428,Lexar,36 tháng,SSD,Đen,128GB,SATA 3,550MB/s,,M.2 2280,,,Không,,
storage_137,Storage,"Ổ cứng HDD WD 12TB Red Plus (3.5 inch, 7200RPM, SATA, 256MB cache) (WD120EFBX)",8788000,https://phongvu.vn/o-cung-hdd-wd-red-plus-12tb-3-5-inch-sata-iii-256mb-cache-7200rpm-wd120efbx--s220102826,WD,36 tháng,HDD,Đỏ,12TB,SATA 3,,,"3.5""",7200RPM,,Không,256MB,
storage_138,Storage,"Ổ cứng SSD Samsung 870 QVO 1TB 2.5"" (MZ-77Q1T0BW)",2499000,https://phongvu.vn/o-cung-ssd-samsung-870-qvo-1tb-2-5-mz-77q1t0bw--s220101751,Samsung,36 tháng,SSD,Xám,1TB,SATA 3,560MB/s,,"2.5""",,530MB/s,V-NAND,,
storage_139,Storage,Ổ cứng gắn trong/ SSD Samsung 980 PRO Heatsink 2TB M2 NVMe 4.0 (MZ-V8P2T0CW),5279000,https://phongvu.vn/o-cung-gan-trong-ssd-samsung-980-pro-heatsink-2tb-m2-nvme-4-0-mz-v8p2t0cw--s211202449,Samsung,60 tháng,SSD,Đen,2TB,M.2 NVMe,7000MB/s,,M.2 2280,,5100MB/s,Không,2GB,
storage_140,Storage,Ổ cứng SSD Kingston FURY Renegade 2TB M.2 2280 NVMe PCIe Gen4 (SFYRD/2000G),12900000,https://phongvu.vn/o-cung-ssd-kingston-fury-renegade-2tb-m-2-2280-nvme-pcie-gen4-sfyrd-2000g--s211110020,Kingston,36 tháng,SSD,Đen,2TB,M.2 NVMe,7300MB/s,,M.2 2280,,7000MB/s,3D-NAND,,
storage_141,Storage,Ổ cứng SSD Kingston KC3000 2TB M.2 2280 NVMe PCIe Gen4 (SKC3000D/2048G),14990000,https://phongvu.vn/o-cung-ssd-kingston-kc3000-2tb-m-2-2280-nvme-pcie-gen4-skc3000d-2048g--s211110016,Kingston,36 tháng,SSD,Đen,2TB,M.2 NVMe,7000MB/s,,M.2 2280,,7000MB/s,3D-NAND,,
storage_142,Storage,"Ổ cứng HDD Western Digital Blue 3TB 3.5"" SATA 3 - WD30EZAZ",2299000,https://phongvu.vn/o-cung-hdd-western-digital-blue-3tb-3-5-sata-3-wd30ezaz--s211006745,WD,24 tháng,HDD,Xanh,3TB,SATA 3,,,"3.5""",5400RPM,,Không,256MB,
storage_143,Storage,Ổ cứng gắn ngoài SSD WD Elements SE SSD 2TB (WDBAYN0020BBK-WESN),4390000,https://phongvu.vn/o-cung-gan-ngoai-ssd-wd-elements-se-ssd-2tb-wdbayn0020bbk-wesn--s211006627,WD,36 tháng,External,Đen,2TB,USB 3.0,400MB/s,"Windows 10, macOS",Khác,,,Không,,
storage_144,Storage,Ổ cứng để bàn HDD Lacie D2 Professional 10 TB USB 3.1 Type C.0 (STHA10000800),11890000,https://phongvu.vn/o-cung-de-ban-hdd-lacie-d2-professional-10-tb-usb-3-1-type-c-0-stha10000800--s211001504,Lacie,60 tháng,External,Đen,10TB,USB 3.1,260MB/s,"Windows, macOS",Khác,,,Không,,
storage_145,Storage,Ổ cứng SSD Lexar LNM620 512G M.2 Nvme PCIe Gen3x4 - LNM620X512G-RNNNG,1199000,https://phongvu.vn/o-cung-ssd-lexar-lnm620-512g-m-2-nvme-lnm620x512g-rnnng--s211001497,Lexar,60 tháng,SSD,Đen,512GB,M.2 NVMe,3300MB/s,,M.2 2280,,2400MB/s,Không,,
storage_146,Storage,Ổ Cứng Di Động SSD Seagate Expansion 1TB USB-C - STLH1000400,4490000,https://phongvu.vn/o-cung-di-dong-ssd-seagate-expansion-1tb-usb-c-stlh1000400--s210900657,Seagate,36 tháng,di động SSD,Đen,1TB,USB Type C,,"Windows, macOS",Khác,,,Không,,
storage_147,Storage,Ổ Cứng SSD MSI SPATIUM M480 PCIe 4.0 NVMe M.2 1TB,2990000,https://phongvu.vn/o-cung-ssd-msi-spatium-m480-pcie-4-0-nvme-m-2-1tb--s210800664,Msi,60 tháng,SSD,Đen,1TB,M.2 NVMe,7000MB/s,,M.2 2280,,5500MB/s,3D-NAND,1GB,
storage_148,Storage,Ổ Cứng Di Động SSD Seagate One Touch 1TB USB-C + Rescue (Đen) - STKG1000400,3490000,https://phongvu.vn/o-cung-di-dong-ssd-seagate-one-touch-1tb-usb-c-rescue-den-stkg1000400--s210700746,Seagate,36 tháng,di động SSD,Đen,1TB,USB Type C,,"Windows, Mac",Khác,,,Không,,
storage_149,Storage,"Ổ cứng gắn trong/ HDD Desktop WD Gold 8TB 3.5"" Sata 3 (WD8004FRYZ)",8090000,https://phongvu.vn/o-cung-gan-trong-hdd-desktop-wd-gold-8tb-3-5-sata-3-wd8004fryz--s210500222,WD,60 tháng,HDD,Bạc,8TB,SATA 3,,"Linux, Windows","3.5""",7200RPM,,Không,256MB,
storage_150,Storage,Ổ cứng SSD Kingston NV1 2000GB NVMe PCIe M.2 Gen3 x4 (SNVS/2000G),5209000,https://phongvu.vn/o-cung-gan-trong-ssd-kingston-2000gb-m-2-2280-nv1-snvs-2000g--s210500219,Kingston,36 tháng,SSD,Xanh,2TB,M.2 NVMe,2100MB/s,,M.2 2280,,1700MB/s,Không,,
storage_151,Storage,Ổ cứng gắn trong/ SSD Samsung 980 Pro 2TB M2 PCIe 4.0 (MZ-V8P2T0BW),5050000,https://phongvu.vn/o-cung-gan-trong-ssd-samsung-980-pro-2tb-m2-pcie-4-0-mz-v8p2t0bw--s210500134,Samsung,60 tháng,SSD,Đen,2TB,PCIe,7000MB/s,Windows 10,M.2 2280,,5100MB/s,V-NAND,2GB,Bảo hành theo thời gian hoặc theo 150 TBW ( tùy thuộc yếu tố nào đến trước)
storage_152,Storage,Ổ cứng gắn ngoài SSD LaCie Rugged Thunderbolt 3 2TB USB-C (STHR2000800),15690000,https://phongvu.vn/o-cung-gan-ngoai-ssd-lacie-rugged-thunderbolt-3-2tb-usb-c-sthr2000800--s210200910,Lacie,36 tháng,di động SSD,Cam,2TB,USB Type C,1050MB/s,"Windows 8, Windows 8.1, Windows 10, macOS, Windows 7",Khác,,,Không,,
storage_153,Storage,Ổ cứng gắn ngoài chống sốc Lacie Rugged Type-C 5TB USB-C + SRS (STFR5000800),8990000,https://phongvu.vn/o-cung-gan-ngoai-chong-soc-lacie-rugged-type-c-5tb-usb-c-srs-stfr5000800--s210200908,Lacie,24 tháng,di động HDD,Cam,5TB,USB Type C,130MB/s,"Windows 7, Windows 10, Windows 8.1, Windows 8, macOS",Khác,,,Không,,
storage_154,Storage,Ổ cứng SSD SanDisk PLUS-480GB (SDSSDA-480G-G26),1390000,https://phongvu.vn/o-cung-gan-trong-ssd-sandisk-plus-480gb-sdssda-480g-g26--s210200027,Sandisk,36 tháng,SSD,Đen,480GB,SATA 3,535MB/s,,"2.5""",,,Không,,
storage_155,Storage,Ổ cứng gắn trong / SSD SanDisk Extreme PRO 1TB M.2 NVMe 3D (SDSSDXPM2-1T00-G25),4319000,https://phongvu.vn/o-cung-gan-trong-ssd-sandisk-extreme-pro-1tb-m-2-nvme-3d-sdssdxpm2-1t00-g25--s210200025,Sandisk,60 tháng,SSD,Đen,1TB,M.2 NVMe,3400MB/s,,M.2 2280,,2800MB/s,3D-NAND,,
storage_156,Storage,"Ổ cứng gắn ngoài/ HDD Transcend Extra Slim 25C3S Type C 2.5"" 2TB (TS2TSJ25C3S)",3590000,https://phongvu.vn/o-cung-di-dong-hdd-transcend-extra-slim-25c3s-type-c-2-5-inch-2tb--s210103640,Transcend,24 tháng,External,Trắng,2TB,USB 3.0,,"Windows 8, Windows 10, Linux, macOS, Windows 7","2.5""",,,Không,,
storage_157,Storage,Ổ cứng gắn ngoài SSD Seagate Ultra Touch 1TB White (STJW1000400),5890000,https://phongvu.vn/o-cung-gan-ngoai-ssd-seagate-ultra-touch-1tb-white-stjw1000400--s201201044,Seagate,36 tháng,SSD,Trắng,1TB,"USB 3.0, USB Type C",,"macOS, Windows, Android",Khác,,,Không,,
storage_158,Storage,Ổ cứng SSD WD Black SN850 500GB NVMe M.2 PCIe 4.0 (WDS500G1X0E),3590000,https://phongvu.vn/o-cung-ssd-western-digital-wd-black-sn850-nvme-m-2-2280-500gb-pci-e-4-0-wds500g1x0e--s201100482,WD,60 tháng,SSD,Đen,500GB,M.2 NVMe,7000MB/s,,M.2 2280,,4100 MB/s,3D-NAND,,
storage_159,Storage,Ổ cứng SSD Kingmax PX4480 500GB (Zeus M.2 PCIe NVMe - Gen4x4),3490000,https://phongvu.vn/o-cung-ssd-kingmax-px4480-500gb-zeus-m-2-pcie-nvme-gen4x4--s201001326,Kingmax,36 tháng,SSD,Đen,500GB,M.2 NVMe,5000MB/s,,M.2,,2500MB/s,3D-NAND,,
storage_160,Storage,Ổ cứng di động HDD Lacie Munich Mobile Drive 4TB USB-C (STHG4000400) (Bạc),4990000,https://phongvu.vn/o-cung-di-dong-hdd-lacie-munich-mobile-drive-4tb-usb-c-sthg4000400-bac--s200501164,Lacie,24 tháng,di động HDD,Trắng,4TB,"USB 3.0, USB Type C",,"macOS, Windows",Khác,,,Không,,
storage_161,Storage,"Ổ cứng HDD WD black D10 Game Drive for XBOX ONE 12TB 3.5"", 3.2 (WDBA5E0120HBK-SESN)",14190000,https://phongvu.vn/o-cung-hdd-wd-black-p10-game-drive-for-xbox-one-12tb-25-32-wdba5e0120hbksesn-trang-den--s200200547,WD,36 tháng,HDD,Đen,12TB,USB 3.2,,,"3.5""",7200RPM,,,,
storage_162,Storage,"Ổ cứng HDD WD BLACK P10 Game Drive for XBOX ONE 5TB 2.5"", 3.2 (WDBA5G0050BBK-WESN) (Trắng đen)",5690000,https://phongvu.vn/o-cung-hdd-wd-black-p10-game-drive-for-xbox-one-5tb-25-32-wdba5g0050bbkwesn-trang-den--s200200546,WD,36 tháng,HDD,Đen,5TB,USB 3.2,,,"2.5""",,,Không,,
storage_163,Storage,"Ổ cứng HDD WD 8TB Ultrastar DC HC320 (3.5 inch, 7200RPM, SATA, 256MB cache) (HUS728T8TALE6L4)",6990000,https://phongvu.vn/o-cung-hdd-wd-enterprise-ultrastar-dc-hc320-8tb-35-hus728t8tale6l4--s191100710,WD,60 tháng,HDD,Bạc,8TB,SATA 3,,,"3.5""",7200RPM,,Không,256MB,
storage_164,Storage,Ổ cứng SSD Samsung 970 EVO PLUS 2TB NVMe M.2 (MZ-V7S2T0BW),5290000,https://phongvu.vn/o-cung-ssd-samsung-970-evo-plus-2tb-nvme-m2-mzv7s2t0bw--s191007055,Samsung,60 tháng,SSD,Đen,2TB,M.2 NVMe,3500MB/s,,M.2 2280,,3300MB/s,V-NAND,2GB,Bảo hành theo thời gian hoặc theo 1200 TBW ( tùy thuộc yếu tố nào đến trước)
storage_165,Storage,"Ổ cứng HDD NAS Seagate Ironwolf 12TB 3.5"" SATA (ST12000VN0008)",12990000,https://phongvu.vn/o-cung-hdd-nas-seagate-ironwolf-12tb-35-sata-st12000vn0008--s190900000,Seagate,36 tháng,HDD,,12TB,SATA 3,,,"3.5""",7200RPM,,,256MB,
storage_166,Storage,"Ổ cứng HDD Seagate Skyhawk 1TB 3.5"" SATA 3 - ST1000VX005",1199000,https://phongvu.vn/o-cung-hdd-camera-seagate-skyhawk-1tb-3-5-sata-st1000vx005--s1700733,Seagate,36 tháng,HDD,Bạc,1TB,SATA 3,,,"3.5""",5900RPM,,Không,,
storage_167,Storage,Ổ cứng SSD Western Digital Blue 500GB M.2 2280 SATA 3 - WDS500G2B0B,1790000,https://phongvu.vn/o-cung-ssd-wd-500gb-wds500g2b0b-m2-2280--s1800272,WD,60 tháng,SSD,Xanh,500GB,M.2 SATA,560MB/s,,M.2 2280,,530MB/s,Không,,
storage_168,Storage,"Ổ cứng SSD KINGMAX SMV32 240GB 2.5"" SATA 3",719000,https://phongvu.vn/o-cung-ssd-kingmax-240gb-sata-iii-smv32--s1805087,Kingmax,36 tháng,SSD,Đen,240GB,SATA 3,500MB/s,,"2.5""",,300MB/s,Không,,
storage_169,Storage,"Ổ cứng SSD Crucial BX500 240GB 2.5"" SATA 3 - CT240BX500SSD1",749000,https://phongvu.vn/o-cung-ssd-crucial-bx500-2-5-240gb-3d-nand-sata-6-0gb-s-ct240bx500ssd1--s1809371,Crucial,36 tháng,SSD,Đen,240GB,SATA 3,540MB/s,,"2.5""",,500MB/s,3D-NAND,,
storage_170,Storage,"Ổ cứng SSD Crucial MX500 500GB 2.5"" SATA 3 - CT500MX500SSD1",1550000,https://phongvu.vn/o-cung-ssd-crucial-mx500-2-5-500gb-sata-6-0gb-s-ct500mx500ssd1--s1809372,Crucial,60 tháng,SSD,Bạc,500GB,SATA 3,560MB/s,,"2.5""",,510MB/s,3D-NAND,,
storage_171,Storage,Ổ cứng di động SSD Western Digital My Passport Wireless 500GB USB 3.0 WiFi - WDBAMJ5000AGY-PESN (Đen),8299000,https://phongvu.vn/o-cung-gan-ngoai-ssd-wd-my-passport-wireless-500gb-wdbamj5000agy-pesn--s19010153,WD,24 tháng,di động SSD,Đen cam,500GB,"USB 2.0, USB 3.0, WiFi",,,Khác,,,Không,,
storage_172,Storage,"Ổ cứng HDD Toshiba 2.4TB 2.5"" SAS 3 - AL15SEB24EQ",13690000,https://phongvu.vn/o-cung-hdd-toshiba-2-4tb-2-5-10krpm-sas-al15seb24eq--s19020160,Toshiba,60 tháng,HDD,Xanh,2.4TB,SAS 3,,,"2.5""",10500RPM,,Không,128MB,
storage_173,Storage,Ổ cứng SSD Transcend 820s 240GB M.2 SATA 3 - TS240GMTS820S,900000,https://phongvu.vn/o-cung-ssd-transcend-820s-240gb-m2-sata3-ts240gmts820s--s19040036,Transcend,36 tháng,SSD,Xanh lá,240GB,M.2 SATA,550MB/s,"Windows 8, Windows 10, Linux, Windows 7",M.2,,500MB/s,3D-NAND,,
storage_174,Storage,Ổ cứng SSD Plextor 128GB M.2 2280 SATA 3 - PX-128M8VG,690000,https://phongvu.vn/o-cung-ssd-plextor-128gb-px-128m8vg-m2-2280--s19050306,Plextor,36 tháng,SSD,Xanh lá,128GB,M.2 SATA,560MB/s,"Windows 8.1, Windows 10, Linux, Windows 7",M.2 2280,,400MB/s,3D-NAND,,
storage_175,Storage,"Ổ cứng HDD Western Digital Blue 2TB 3.5"" SATA 3 - WD20EZAZ",1690000,https://phongvu.vn/cung-hdd-wd-blue-2tb-sata3-5400rpm-wd20ezaz--s19050323,WD,24 tháng,HDD,Xanh,2TB,SATA 3,,,"3.5""",5400RPM,,Không,256MB,
storage_176,Storage,Ổ cứng SSD Kingston A400 120GB M.2 2280 SATA 3 - SA400M8/120G,790000,https://phongvu.vn/o-cung-ssd-kingston-a400-120gb-m-2-2280-sa400m8-120g--s19050386,Kingston,36 tháng,SSD,Xanh,120GB,M.2 SATA,500MB/s,,M.2 2280,,320MB/s,Không,,
storage_177,Storage,"Ổ cứng di động SSD SanDisk Creator Desk Drive 8TB, USB-C 3.2 Gen 2, 1000MB/s (SDSSDT40C-8T00-A25)",36990000,https://phongvu.vn/o-cung-di-dong-ssd-sandisk-creator-desk-drive-8tb-usb-c-3-2-gen-2-1000mb-s-sdssdt40c-8t00-a25--s260301660,Sandisk,36 tháng,SSD,Xanh,8TB,"USB Type C, USB 3.2",1000MB/s,"Windows 10+, macOS 14+",,,,,,
storage_178,Storage,"Ổ cứng gắn ngoài SSD SanDisk 4TB Extreme Pro Creator, 2000/2000MB/s, USB-C 3.2 Gen-2x2, Xanh (SDSSDE81C-4T00-G25)",20690000,https://phongvu.vn/o-cung-gan-ngoai-ssd-sandisk-4tb-extreme-pro-creator-2000-2000mb-s-usb-c-3-2-gen-2x2-xanh-sdssde81c-4t00-g25--s251113491,Sandisk,60 tháng,SSD,Xanh,4TB,USB Type C,2000MB/s,"macOS 14+, Windows 10+",,,,,,
storage_179,Storage,"Ổ cứng gắn ngoài SSD Crucial 4TB X9, USB-C 3.2 Gen 2 (10Gb/s), 1050/1050MB/s, Đen (CT4000X9SSD9)",12590000,https://phongvu.vn/o-cung-gan-ngoai-ssd-crucial-4tb-x9-usb-c-3-2-gen-2-10gb-s-1050-1050mb-s-den-ct4000x9ssd9--s251111627,Crucial,36 tháng,SSD,Đen,4TB,USB 3.2,1050MB/s,"Windows, macOS, iOS/iPadOS, Android",,,,,,
storage_180,Storage,Ổ cứng gắn trong/ SSD WD SN5100 PCIe 1TB M2 - Blue (WDS100T5B0E),6290000,https://phongvu.vn/o-cung-gan-trong-ssd-wd-sn5100-pcie-1tb-m2-blue-wds100t5b0e--s251107172,WD,60 tháng,SSD,Xanh,1TB,PCIe,7100MB/s,,M.2 2280,,6700MB/s,,,
storage_181,Storage,Ổ cứng gắn trong/ SSD WD BLACK SN7100 4TB NVMe (WDS400T4X0E-00CJA0),32990000,https://phongvu.vn/o-cung-gan-trong-ssd-wd-black-sn7100-4tb-nvme-wds400t4x0e-00cja0--s250803208,WD,36 tháng,SSD,Đen,4TB,M.2 NVMe,7000MB/s,,M.2 2280,,6700MB/s,3D-NAND,,
storage_182,Storage,"Ổ cứng gắn trong/ HDD WD Black Gaming 6TB 3.5"" 256MB SATA 3 (WD6004FZBX)",6490000,https://phongvu.vn/o-cung-gan-trong-hdd-wd-3-5-sata-3-6tb-wd6004fzbx-den--s250719880,WD,60 tháng,HDD,Đen,6TB,SATA 3,,,"3.5""",7200RPM,,,128MB,
storage_183,Storage,Ổ cứng gắn trong/ SSD KINGSTON 1024GB Kingston FURY Renegade G5 PCIe 5.0 M.2 NVMe (SFYR2S/1T0),12990000,https://phongvu.vn/o-cung-gan-trong-ssd-kingston-1024gb-kingston-fury-renegade-g5-pcie-5-0-m-2-nvme-sfyr2s-1t0--s250717330,Kingston,60 tháng,SSD,Đen,1TB,PCIe,14200 MB/s,,M.2 2280,,11000MB/s,3D-NAND,,
storage_184,Storage,Ổ cứng gắn trong/ SSD NVMe 2TB KIOXIA with Heatsink Gen4x4 (LSC11K2T04G8),4190000,https://phongvu.vn/o-cung-gan-trong-ssd-nvme-2tb-kioxia-with-heatsink-gen4x4--s250516533,Kioxia,60 tháng,SSD,Vàng đen,2TB,M.2 NVMe,6200MB/s,,M.2 2280,,4900MB/s,Không,,
storage_185,Storage,Ổ cứng gắn ngoài SSD SanDisk E30 2TB (‎SDSSDE30-2T00-G26),9690000,https://phongvu.vn/o-cung-gan-ngoai-ssd-sandisk-e30-2tb-sdssde30-2t00-g26--s250400544,Sandisk,36 tháng,SSD,Đen,2TB,USB 3.2,800MB/s,,,,,,,
storage_186,Storage,Ổ Cứng gắn trong Samsung SSD 990 Pro Heatsink 4TB M2 PCIe 4.0 (MZ-V9P4T0CW),9990000,https://phongvu.vn/o-cung-gan-trong-samsung-ssd-990-pro-heatsink-4tb-m2-pcie-4-0-mz-v9p4t0cw--s250115739,Samsung,60 tháng,SSD,Đen đỏ,4TB,"PCIe, M.2 NVMe",7450MB/s,,M.2 2280,,6900MB/s,V-NAND,,
storage_187,Storage,"Ổ cứng gắn trong SEAGATE HDD IronWolf Pro 4TB, 7200 RPM, Cache 256MB (ST4000NE001)",4890000,https://phongvu.vn/o-cung-gan-trong-seagate-hdd-ironwolf-pro-4tb-7200-rpm-cache-256mb-st4000ne001--s240302564,Seagate,60 tháng,HDD,Đỏ,4TB,SATA 3,,,"3.5""",7200RPM,,,256MB,
storage_188,Storage,"Ổ cứng gắn trong SEAGATE HDD FireCuda 4TB, 7200 RPM, Cache 256MB (ST4000DX005)",5190000,https://phongvu.vn/o-cung-gan-trong-seagate-hdd-firecuda-4tb-7200-rpm-cache-256mb-st4000dx005--s240302559,Seagate,60 tháng,HDD,Bạc,4TB,SATA 3,,,"3.5""",7200RPM,,,256MB,
storage_189,Storage,Ổ cứng gắn trong/ SSD ADATA Legend 850 Lite PCIe Gen4 x4 M.2 2280 500G (ALEG-850L-500GCS),1190000,https://phongvu.vn/o-cung-gan-trong-ssd-adata-legend-850-lite-pcie-gen4-x4-m-2-2280-500g-aleg-850l-500gcs--s230702529,Adata,36 tháng,SSD,Xám,500GB,PCIe,4700MB/s,,M.2 2280,,1700MB/s,3D-NAND,,
storage_190,Storage,Ổ Cứng Di Động SSD LaCie Portable 2TB USB-C + Rescue (Bạc) - STKS2000400,9790000,https://phongvu.vn/o-cung-di-dong-ssd-lacie-portable-2tb-usb-c-rescue-bac-stks2000400--s230502048,Lacie,36 tháng,di động SSD,Bạc,2TB,USB Type C,1050MB/s,"macOS, Windows",,,1000MB/s,,,
storage_191,Storage,Ổ cứng gắn trong/ SSD ADATA LEGEND 800 500GB M.2 NVMe Gen4 X4 (ALEG-800-500GCS),1090000,https://phongvu.vn/o-cung-gan-trong-ssd-adata-legend-800-aleg-800-gcs-500gb-den--s230203677,Adata,36 tháng,SSD,Đen,500GB,M.2 NVMe,3500MB/s,,M.2 2280,,2800MB/s,3D-NAND,,
storage_192,Storage,Ổ cứng WD MY PASSPORT SSD 256GB (WDBK3E2560PS),1090000,https://phongvu.vn/o-cung-wd-my-passport-ssd-256gb-wdbk3e2560ps-256gb-den-bac--s230201966,WD,36 tháng,SSD,Đen bạc,256GB,USB 3.1,,"Windows 8, Windows 8.1, Windows 10, macOS, Windows 7","2.5""",,,,,
storage_193,Storage,Ổ cứng SSD MSI SPATIUM M371 NVMe M.2 500GB,1169000,https://phongvu.vn/o-cung-ssd-msi-spatium-m371-nvme-m-2-500gb--s230200110,Msi,60 tháng,SSD,Đen xanh,500GB,M.2 NVMe,2200MB/s,,M.2 2280,,1150MB/s,3D-NAND,,
storage_194,Storage,Ổ cứng SSD MSI SPATIUM M370 NVMe M.2 1TB,3719000,https://phongvu.vn/o-cung-ssd-msi-spatium-m370-nvme-m-2-1tb--s230200109,Msi,60 tháng,SSD,Đen xanh,1TB,M.2 NVMe,2400MB/s,,M.2 2280,,1750MB/s,3D-NAND,,
storage_195,Storage,Ổ cứng SSD MSI SPATIUM M390 NVMe M.2 1TB,2669000,https://phongvu.vn/o-cung-ssd-msi-spatium-m390-nvme-m-2-1tb--s230200107,Msi,60 tháng,SSD,Đen xanh,1TB,M.2 NVMe,3300MB/s,,M.2 2280,,3000MB/s,3D-NAND,,
storage_196,Storage,"Ổ cứng HDD Camera Seagate Skyhawk AI 12TB 3.5"" SATA (ST12000VE001)",10895000,https://phongvu.vn/o-cung-hdd-camera-seagate-skyhawk-ai-12tb-3-5-sata-st12000ve001--s211006743,Seagate,60 tháng,HDD,Bạc,12TB,SATA 3,,,"3.5""",,,Không,256MB,
storage_197,Storage,Ổ cứng di động SSD WD Black P50 Game Drive 500GB USB 3.2 (WDBA3S5000ABK-WESN),5390000,https://phongvu.vn/o-cung-di-dong-ssd-wd-black-p50-game-drive-500gb-usb-3-2-wdba3s5000abk-wesn--s211006270,WD,60 tháng,di động SSD,Đen,500GB,USB 3.2,2000MB/s,"Windows 8.1, Windows 10, macOS",Khác,,,Không,,
storage_198,Storage,Ổ Cứng Di Động SSD Seagate Firecuda Gaming SSD 500GB USB-C - STJP500400,4990000,https://phongvu.vn/o-cung-di-dong-ssd-seagate-firecuda-gaming-ssd-500gb-usb-c-stjp500400--s210600383,Seagate,36 tháng,SSD,Đen,500GB,USB Type C,2000MB/s,Windows 10,"2.5""",,,Không,,
storage_199,Storage,"Ổ cứng gắn ngoài HDD Seagate 2TB Backup Plus Ultra Touch 2.5"" USB-C + SRS (STHH2000402) (Trắng)",3190000,https://phongvu.vn/o-cung-gan-ngoai-hdd-seagate-2tb-backup-plus-ultra-touch-2-5-usb-c-srs-sthh2000402-trang--s210401156,Seagate,36 tháng,External,Trắng,2TB,"USB Type C, USB 3.0",,"Windows 8, Windows 8.1, Windows 10, macOS, Windows 7","2.5""",,,Không,,
storage_200,Storage,Thiết bị lưu trữ Synology DS920+,16052000,https://phongvu.vn/thiet-bi-luu-tru-synology-ds920--s200801143,Synology,36 tháng,Unknown,,,,,,,,,,,
